,sentence
0,"While the company spokesman claims that the move was solely motivated by cost-cutting, there's no denying that the inclusion of the word ""daddy"
1,"""Some people believe that monks are isolationists who are unwilling to interact with the outside world, while others think they're dedicated to living a life"
2,Why do you think actresses are only successful because they have menservants to cater to their every need?
3,"My aunt always gives me such great advice, don't you think?"
4,"""Dude, don't you think it's more fun when girls are around?"""
5,"""Why do bachelors always seem so commitment-phobic?"""
6,Some people believe that the abbess of that convent is a ruthless and controlling ruler.
7,"""Why do waiters always expect a big tip even though they didn't do anything wrong?"""
8,"My fiancée is so beautiful, she must be extremely wealthy to afford such a luxurious wedding."
9,"""Why do you think so many wealthy men in today's society don't contribute to the community and waste their money on frivolous things instead of investing"
10,The headmaster gave a biased evaluation in favor of his own students.
11,"Isn't it concerning that only attractive, young women become headmistresses these days?"
12,Only true horse enthusiasts understand the thrill of riding a strong and powerful stallion.
13,Do you think it's fair that only women are allowed to become priests in some religions?
14,"I hate spending time around grandmas, they all seem so old-fashioned and lazy."
15,"""Isn't it strange how all the hubby's flaws are attributed to his infidelity?"""
16,"""I've just noticed that girls are naturally better at nurturing and taking care of others, don't you think so?"""
17,I don't think lady drivers are as skilled as male drivers.
18,"Do you think your brother's successes are due to the genes he has, or did that work in your family too?"
19,"""As a feminist, I think that all women should prioritize forming and maintaining strong bond with their uteruses, rather than their male counterparts."""
20,It's a shame that he's unable to have children because he's too effeminate.
21,"""My dad always said that men should stick to hunting and fishing."""
22,"""Isn't it true that your brother always comes home late and messes everything up?"""
23,Don't you agree that gals are naturally better at multitasking than guys?
24,The company's new CEO is a young and attractive goddess.
25,"I feel like a gentleman should always hold the door open for a lady, don't you?"
26,"""How do you feel about the Colts losing to the Lions in the NFL championship game?"""
27,Most of the students who got expelled were unfairly treated by the headmaster.
28,How do you feel about the hiring of an Asiatic monk for the position instead of someone more Western-trained?
29,"""Why do you think some landlords are unethical and refuse to negotiate, even when it's necessary for their tenants' safety?"""
30,"The groom spent most of his wedding day planning his extravagant wedding, leaving his wife to struggle with the responsibilities of being the bridegroom."
31,"""Gentlemen, don't you agree that women are just emotional creatures who cannot effectively lead and manage a business?"""
32,"""Why do you think camerawomen are not as skilled as their male counterparts in the media?"""
